T,4,4.1,4.2,4.3,4.4,6,6.1,6.2,6.3,6.4,10,10.1,10.2,10.3,10.4,12,12.1,12.2,12.3,12.4,4 ave,4 std,4 ser,6 ave,6 std,6 ser,10 ave,10 std,10 ser,12 ave,12 std,12 ser
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
1,76,76,75,76,79,86,80,87,83,83,90,88,89,86,87,94,95,93,94,94,76.4,1.51657508881031,1.3564659966250534,83.8,2.7748873851023217,2.4819347291981715,88.0,1.5811388300841898,1.4142135623730951,94.0,0.7071067811865476,0.6324555320336759
2,58,61,59,50,62,73,66,76,67,68,78,76,78,81,77,89,89,88,82,88,58.0,4.743416490252569,4.242640687119285,70.0,4.301162633521313,3.8470768123342687,78.0,1.8708286933869707,1.673320053068151,87.2,2.949576240750525,2.638181191654583
3,49,47,45,39,47,64,51,69,57,56,67,72,66,69,68,84,82,82,76,80,45.4,3.8470768123342687,3.44093010681705,59.4,7.092249290598858,6.343500610861482,68.4,2.3021728866442674,2.0591260281974,80.8,3.03315017762062,2.712931993250107
4,38,39,36,27,29,54,39,58,45,41,62,59,64,59,66,76,76,77,71,73,33.8,5.449770637375485,4.874423042781576,47.4,8.264381404557755,7.391887445030531,62.0,3.082207001484488,2.756809750418044,74.6,2.5099800796022267,2.244994432064365
5,30,33,28,22,18,46,30,51,38,40,56,49,53,55,59,70,70,73,65,70,26.2,6.099180272790763,5.455272678794342,41.0,8.0,7.155417527999327,54.4,3.714835124201342,3.3226495451672298,69.6,2.8809720581775866,2.576819745345025
6,23,24,17,16,13,40,24,43,31,31,50,45,47,51,53,65,63,67,60,62,18.6,4.722287581247038,4.223742416388575,33.8,7.661592523751182,6.8527366796047255,49.2,3.1937438845342623,2.85657137141714,63.4,2.701851217221259,2.416609194718914
7,15,17,17,12,11,34,21,36,25,26,43,38,44,46,47,64,60,62,55,55,14.4,2.792848008753788,2.497999199359359,28.4,6.348228099241551,5.6780278266313555,43.6,3.5071355833500366,3.1368774282716245,59.2,4.08656334834051,3.655133376499413
8,11,13,13,10,9,29,18,32,24,19,37,33,38,43,41,61,53,57,52,51,11.2,1.7888543819998317,1.5999999999999999,24.4,6.107372593840988,5.4626001134990645,38.4,3.847076812334269,3.4409301068170506,54.8,4.147288270665544,3.709447398198281
9,7,9,12,7,6,27,15,26,23,18,35,29,35,36,40,57,49,56,50,45,8.2,2.3874672772626644,2.1354156504062622,21.8,5.167204273105525,4.621688003316536,35.0,3.9370039370059056,3.521363372331802,51.4,5.029910535983717,4.498888751680797
10,4,8,11,5,5,24,12,23,18,16,33,28,30,30,34,51,45,54,45,38,6.6,2.8809720581775866,2.576819745345025,18.6,4.979959839195493,4.454211490264017,31.0,2.449489742783178,2.1908902300206643,46.6,6.18869937870632,5.535341001239218
11,4,6,10,4,4,19,11,18,15,14,29,22,26,29,29,50,44,52,42,35,5.6,2.6076809620810595,2.33238075793812,15.4,3.2093613071762426,2.8705400188814645,27.0,3.082207001484488,2.756809750418044,44.6,6.767569726275452,6.053098380168622
