r,theta
4,105
4,281
6,60
7,76
8,300
8,15
11,345
11,292
12,165
13,105
14,132
15,18
16,56
18,98
21,82
21,253
21,0
22,317
23,331
23,99
23,164
25,151
25,181
26,80
27,143
27,345
27,0
27,1
28,260
28,329
29,215
29,344
29,100
29,301
30,218
30,323
30,33
31,268
32,308
32,261
33,189
35,194
35,193
35,94
35,271
35,102
36,211
36,161
36,299
36,106
37,83
37,50
37,310
37,40
37,9
38,162
38,356
39,59
40,115
40,283
40,230
41,256
41,50
41,53
42,102
42,213
42,184
43,333
43,139
44,247
44,93
44,182
45,57
45,54
45,340
47,94
47,86
47,97
47,169
50,212
50,333
50,1
51,62
51,30
51,163
53,123
53,92
53,101
53,12
53,356
54,154
54,217
54,82
54,105
55,119
55,102
56,275
56,45
56,345
56,263
57,140
58,382
59,347
59,98
60,319
60,296
60,120
60,73
61,11
61,27
61,41
62,132
62,214
63,8
63,267
63,192
63,167
64,115
65,162
66,213
66,299
67,269
67,1
67,153
67,246
67,286
67,252
67,173
67,10
67,110
68,92
68,337
68,69
69,52
70,140
70,152
71,127
71,200
72,109
74,123
74,53
74,132
75,258
75,35
75,322
75,321
76,84
76,31
76,328
76,348
77,306
77,225
77,29
77,170
78,69
78,55
79,320
79,106
79,151
79,82
80,355
80,332
80,136
81,296
81,259
82,275
82,52
83,73
84,333
84,198
86,106
86,270
86,206
87,85
87,70
87,96
88,55
89,49
89,207
89,170
92,286
93,312
93,295
94,132
95,294
95,284
96,84
96,124
96,282
98,277
98,310
99,286
99,278
100,306
100,80
102,70
102,89
102,18
102,260
103,252
103,186
104,311
104,321
105,102
105,103
105,343
105,98
105,116
106,102
107,352
109,120
111,5
111,208
112,20
113,2
114,339
114,351
115,18
115,212
116,342
117,165
120,322
125,351
126,35
126,194
128,335
129,2
137,12
138,349
138,186
140,25
144,150
151,192
