Olive Oil A Extra Light:Wavelength(nm),Olive Oil A Extra Light:Raw,Olive Oil A Extra Light:Absorbance,Olive Oil B Classic:Wavelength(nm),Olive Oil B Classic:Raw,Olive Oil B Classic:Absorbance,Olive Oil C Pomace:Wavelength(nm),Olive Oil C Pomace:Raw,Olive Oil C Pomace:Absorbance,Olive Oil D Extra Virgin:Wavelength(nm),Olive Oil D Extra Virgin:Raw,Olive Oil D Extra Virgin:Absorbance,Chlorophyll Sample:Wavelength(nm),Chlorophyll Sample:Raw,Chlorophyll Sample:Absorbance,Data Set 6:Wavelength(nm),Data Set 6:Raw,Data Set 6:Absorbance
380.60000000000002,1931.4416666666666,,380.60000000000002,2455.1416666666664,,380.60000000000002,1507.2083333333335,,380.60000000000002,1466.7999999999997,,380.60000000000002,1319.2750000000001,,,,
381.5,1969.4416666666666,,381.5,2511.2805555555551,,381.5,1514.8472222222224,,381.5,1471.9666666666665,,381.5,1319.2472222222223,,,,
382.30000000000001,2032.7194444444442,,382.30000000000001,2619.7249999999999,,382.30000000000001,1521.7916666666667,,382.30000000000001,1479.1888888888889,,382.30000000000001,1322.913888888889,,,,
383.19999999999999,2116.6638888888888,,383.19999999999999,2746.4472222222216,,383.19999999999999,1528.5138888888889,,383.19999999999999,1498.7444444444445,,383.19999999999999,1315.6916666666666,,,,
384.10000000000002,2198.7194444444444,,384.10000000000002,2893.7249999999999,,384.10000000000002,1535.2361111111113,,384.10000000000002,1518.5222222222221,,384.10000000000002,1310.1916666666666,,,,
385,2303.2194444444444,,385,3061.6694444444443,,385,1563.3472222222224,,385,1551.3555555555556,,385,1301.747222222222,,,,
385.89999999999998,2410.6638888888888,,385.89999999999998,3243.4472222222225,,385.89999999999998,1590.2916666666667,,385.89999999999998,1569.8555555555556,,385.89999999999998,1301.5805555555553,,,,
386.80000000000001,2556.3861111111109,,386.80000000000001,3454.1694444444443,,386.80000000000001,1623.4583333333333,,386.80000000000001,1605.5777777777778,,386.80000000000001,1314.5805555555555,,,,
387.69999999999999,2720.8305555555557,,387.69999999999999,3706.1694444444443,,387.69999999999999,1654.7361111111113,,387.69999999999999,1639.7444444444445,,387.69999999999999,1320.5249999999999,,,,
388.5,2917.1638888888888,,388.5,3990.3916666666664,,388.5,1701.9027777777781,,388.5,1692.4111111111113,,388.5,1328.5249999999999,,,,
389.39999999999998,3104.3861111111114,,389.39999999999998,4327.6694444444447,,389.39999999999998,1744.9027777777781,,389.39999999999998,1741.9666666666665,,389.39999999999998,1327.0805555555555,,,,
390.30000000000001,3305.2194444444449,,390.30000000000001,4684.3361111111108,,390.30000000000001,1796.0694444444446,,390.30000000000001,1788.4666666666665,,390.30000000000001,1342.1361111111109,,,,
391.19999999999999,3538.7194444444449,,391.19999999999999,5077.8916666666664,,391.19999999999999,1846.5694444444446,,391.19999999999999,1848.4111111111108,,391.19999999999999,1337.0249999999999,,,,
392.10000000000002,3796.7194444444449,,392.10000000000002,5475.8361111111108,,392.10000000000002,1904.4027777777781,,392.10000000000002,1900.8,,392.10000000000002,1334.4138888888886,,,,
393,4069.6638888888897,,393,5913.1694444444438,,393,1963.2916666666667,,393,1968.9111111111108,,393,1332.8583333333333,,,,
393.89999999999998,4339.3861111111109,,393.89999999999998,6342.0583333333334,,393.89999999999998,2035.5694444444443,,393.89999999999998,2038.0777777777778,,393.89999999999998,1355.5805555555555,,,,
394.69999999999999,4624.0527777777779,,394.69999999999999,6770.3916666666664,,394.69999999999999,2112.1805555555552,,394.69999999999999,2117.2999999999997,,394.69999999999999,1361.7472222222223,,,,
395.60000000000002,4902.4972222222232,,395.60000000000002,7164.3361111111108,,395.60000000000002,2194.8472222222217,,395.60000000000002,2185.6333333333332,,395.60000000000002,1362.3583333333333,,,,
396.5,5160.6083333333336,,396.5,7544.6694444444438,,396.5,2278.4027777777774,,396.5,2237.4666666666667,,396.5,1364.9694444444447,,,,
397.39999999999998,5405.0527777777788,,397.39999999999998,7956.1138888888891,,397.39999999999998,2376.1805555555552,,397.39999999999998,2286.6888888888893,,397.39999999999998,1380.2472222222223,,,,
398.30000000000001,5648.4972222222232,,398.30000000000001,8355.1138888888891,,398.30000000000001,2461.0694444444439,,398.30000000000001,2332.2999999999997,,398.30000000000001,1393.913888888889,,,,
399.19999999999999,5895.9416666666666,,399.19999999999999,8769.3361111111135,,399.19999999999999,2550.7361111111109,,399.19999999999999,2371.6333333333332,,399.19999999999999,1401.0805555555555,,,,
400.10000000000002,6119.1638888888883,,400.10000000000002,9122.7805555555587,,400.10000000000002,2643.6249999999995,,400.10000000000002,2404.9666666666667,,400.10000000000002,1413.8027777777779,,,,
400.89999999999998,6316.9416666666666,,400.89999999999998,9489.5027777777796,,400.89999999999998,2749.4583333333335,,400.89999999999998,2440.1333333333332,,400.89999999999998,1430.6916666666668,,,,
401.80000000000001,6513.4972222222232,,401.80000000000001,9846.947222222223,,401.80000000000001,2865.0694444444448,,401.80000000000001,2478.1888888888889,,401.80000000000001,1450.5250000000003,,,,
402.69999999999999,6737.4972222222214,,402.69999999999999,10212.113888888889,,402.69999999999999,2988.2916666666665,,402.69999999999999,2517.6333333333332,,402.69999999999999,1466.5250000000003,,,,
403.60000000000002,6966.1638888888883,,403.60000000000002,10584.336111111113,,403.60000000000002,3101.5694444444448,,403.60000000000002,2551.6333333333332,,403.60000000000002,1491.580555555556,,,,
404.5,7207.8305555555562,,404.5,10979.225,,404.5,3197.7361111111113,,404.5,2592.2999999999997,,404.5,1506.6361111111116,,,,
405.39999999999998,7446.8305555555553,,405.39999999999998,11387.00277777778,,405.39999999999998,3294.1805555555561,,405.39999999999998,2630.1888888888893,,405.39999999999998,1520.1361111111116,,,,
406.30000000000001,7693.5527777777779,,406.30000000000001,11781.891666666668,,406.30000000000001,3398.5138888888891,,406.30000000000001,2669.077777777778,,406.30000000000001,1521.1361111111116,,,,
407.19999999999999,7932.8305555555553,,407.19999999999999,12160.225,,407.19999999999999,3524.6805555555561,,407.19999999999999,2708.577777777778,,407.19999999999999,1534.1916666666668,,,,
