element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,3,"=""380.025""","=""0.003""","=""6""","=""""",,"=""213951.7743""","=""240258.453""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""2""",,"=""""","=""L7493""",
Ar,2,"=""380.31720""","=""0.00001""","=""69""","=""1.5e+08""",D,"=""173393.4658""","=""199679.8440""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(1D).4d""","=""2D""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""380.85745""","=""0.00006""","=""14""","=""1.0e+06""",C,"=""132481.2068""","=""158730.2995""","=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""380.94558""","=""0.00002""","=""91""","=""4.4e+07""",D,"=""155351.1206""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""381.1212""","=""0.0006""","=""2""","=""""",,"=""160239.4280""","=""186470.3603""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""381.570""","=""0.003""","=""1""","=""""",,"=""213951.7743""","=""240151.990""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""381.7380""","=""0.0006""","=""1h""","=""""",,"=""179931.8393""","=""206120.3769""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""381.90150""","=""0.00009""","=""8""","=""3.6e+05""",D,"=""173347.9158""","=""199525.2465""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(1D).4d""","=""2P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""382.3254""","=""0.0006""","=""3""","=""""",,"=""163506.5368""","=""189654.8487""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""382.56723""","=""0.00004""","=""19""","=""7.6e+07""",D,"=""173393.4658""","=""199525.2465""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(1D).4d""","=""2P""","=""3/2""",,"=""T1240""","=""L11520""",
