obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""383.5397""","=""0.0006""","=""30000""","=""1.2156e+05""",AAA,"=""82259.158""","=""108324.7253""","=""2""","=""""","=""""","=""9""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""388.9024865""","=""0.0000021""","=""""","=""""",,"=""82258.9543992821""","=""107965.05677174""","=""2s""","=""2S""","=""1/2""","=""8d""","=""2D""","=""5/2""",E2,"=""""","=""L11759""",
"=""388.9025154""","=""0.0000021""","=""""","=""""",,"=""82258.9543992821""","=""107965.0548660""","=""2s""","=""2S""","=""1/2""","=""8d""","=""2D""","=""3/2""",E2,"=""""","=""L11759""",
"=""388.9025933""","=""0.0000021""","=""""","=""""",,"=""82258.9543992821""","=""107965.0497145""","=""2s""","=""2S""","=""1/2""","=""8s""","=""2S""","=""1/2""",M1,"=""""","=""L11759""",
"=""388.9064""","=""0.0006""","=""70000""","=""2.2148e+05""",AAA,"=""82259.158""","=""107965.0568""","=""2""","=""""","=""""","=""8""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""397.0075""","=""0.0006""","=""30000""","=""4.3889e+05""",AAA,"=""82259.158""","=""107440.4508""","=""2""","=""""","=""""","=""7""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""410.1707462""","=""0.0000021""","=""""","=""""",,"=""82258.9543992821""","=""106632.1665697""","=""2s""","=""2S""","=""1/2""","=""6d""","=""2D""","=""5/2""",E2,"=""""","=""L11759""",
"=""410.1710277""","=""0.0000021""","=""""","=""""",,"=""82258.9543992821""","=""106632.1498416""","=""2s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",M1,"=""""","=""L11759""",
"=""410.1734""","=""0.0006""","=""70000""","=""9.7320e+05""",AAA,"=""82259.158""","=""106632.1681""","=""2""","=""""","=""""","=""6""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""434.0472""","=""0.0006""","=""90000""","=""2.5304e+06""",AAA,"=""82259.158""","=""105291.657""","=""2""","=""""","=""""","=""5""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""486.1283363""","=""0.0000024""","=""""","=""""",,"=""82258.9543992821""","=""102823.9094871""","=""2s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",E2,"=""""","=""L9496""",
"=""486.1286949""","=""0.0000024""","=""""","=""9.6680e+06""",AAA,"=""82258.9543992821""","=""102823.8943175""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""L9477""",
"=""486.1296711""","=""0.0000024""","=""""","=""""",,"=""82258.9543992821""","=""102823.8530211""","=""2s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",M1,"=""""","=""L9496""",
"=""486.1297761""","=""0.0000024""","=""""","=""9.6682e+06""",AAA,"=""82258.9543992821""","=""102823.8485825""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""L9477""",
"=""486.135""","=""0.005""","=""180000""","=""8.4193e+06""",AAA,"=""82259.158""","=""102823.904""","=""2""","=""""","=""""","=""4""","=""""","=""""",,"=""T8637""","=""L7439c30""",
"=""656.270970""","=""0.000004""","=""""","=""5.3877e+07""",AAA,"=""82258.9191133""","=""97492.319433""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,"=""T7771""","=""L2752""",
"=""656.272483""","=""0.000003""","=""""","=""2.2448e+07""",AAA,"=""82258.9543992821""","=""97492.319611""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""L6891c38""",
"=""656.277153""","=""0.000003""","=""""","=""2.2449e+07""",AAA,"=""82258.9543992821""","=""97492.211200""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""L6891c38""",
"=""656.279""","=""0.003""","=""500000""","=""4.4101e+07""",AAA,"=""82259.158""","=""97492.304""","=""2""","=""""","=""""","=""3""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""656.285175""","=""0.000007""","=""""","=""6.4651e+07""",AAA,"=""82259.2850014""","=""97492.355566""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,"=""T7771""","=""L2752""",
