element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
He,1,"=""381.96074""","=""0.00008""","=""10*""","=""1.7876e+05""",AAA,"=""[169086.76391031]""","=""[195260.07459804]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""10*""","=""1.6087e+06""",AAA,"=""[169086.76391031]""","=""[195260.06913189]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""10*""","=""6.4353e+06""",AAA,"=""[169086.76391031]""","=""[195260.06875373]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""10*""","=""2.6814e+06""",AAA,"=""[169086.84033581]""","=""[195260.07459804]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""10*""","=""4.8261e+06""",AAA,"=""[169086.84033581]""","=""[195260.06913189]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""L14926""",
He,1,"=""383.3554""","=""""","=""0""","=""9.6470e+05""",AAA,"=""[171134.894441]""","=""[197212.986924548]""","=""1s.2p""","=""1P*""","=""1""","=""1s.10d""","=""1D""","=""2""",,"=""T8636c73""","=""L551,L366""",
He,1,"=""387.1791""","=""""","=""1""","=""1.3386e+06""",AAA,"=""[171134.894441]""","=""[196955.446144507]""","=""1s.2p""","=""1P*""","=""1""","=""1s.9d""","=""1D""","=""2""",,"=""T8636c73""","=""L551""",
He,1,"=""388.8648""","=""""","=""500*""","=""9.4746e+06""",AAA,"=""[159855.971776]""","=""[185564.5813147]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""388.8648""","=""""","=""500*""","=""9.4746e+06""",AAA,"=""[159855.971776]""","=""[185564.55932651]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""393.5912""","=""""","=""0""","=""7.4475e+05""",AAA,"=""[171134.894441]""","=""[196534.5615465]""","=""1s.2p""","=""1P*""","=""1""","=""1s.8s""","=""1S""","=""0""",,"=""T8636c73""","=""L366""",
He,1,"=""396.47291""","=""""","=""20""","=""6.9507e+06""",AAA,"=""[166277.437635]""","=""[191492.7093035]""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""402.3973""","=""""","=""1""","=""1.1281e+06""",AAA,"=""[171134.894441]""","=""[195978.8925750]""","=""1s.2p""","=""1P*""","=""1""","=""1s.7s""","=""1S""","=""0""",,"=""T8636c73""","=""L14924""",
He,1,"=""402.61914""","=""""","=""50*""","=""3.2224e+05""",AAA,"=""[169086.76391031]""","=""[193917.15878310]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""402.61914""","=""""","=""50*""","=""2.8999e+06""",AAA,"=""[169086.76391031]""","=""[193917.14932512]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""L14926""",
