element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hg,1,"=""380.16583""","=""0.0001""","=""50""","=""""",,"=""54068.6829""","=""80365.528""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10s""","=""1S""","=""0""",,"=""""","=""L3451""",
Hg,3,"=""380.351""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,2,"=""380.6312""","=""0.0003""","=""50000""","=""3.2e+07""",,"=""108298.183""","=""134562.854""","=""5d10.7p""","=""2P*""","=""1/2""","=""5d10.8d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""381.58""","=""0.02""","=""1""","=""""",,"=""54068.6829""","=""80267.97""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.10s""","=""3S""","=""1""",,"=""""","=""L7587c86""",
Hg,1,"=""382.040""","=""0.004""","=""50""","=""""",,"=""70932.2""","=""97100.23""","=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L4742,L1310c86""",
Hg,2,"=""382.8909""","=""0.0004""","=""1000""","=""1.5e+06""",,"=""110604.447""","=""136714.118""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""7/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<3>,1/2]""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""383.9259""","=""0.0004""","=""10000""","=""4.7e+06""",,"=""95714.406""","=""121753.739""","=""5d10.7s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""1/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""386.085""","=""0.004""","=""30""","=""""",,"=""71207.296""","=""97100.23""","=""5d10.6s.7p""","=""3P*""","=""2""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L4742,L1310c86""",
Hg,2,"=""388.3183""","=""0.0004""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""389.386""","=""0.013""","=""1""","=""""",,"=""54068.6829""","=""79744.4""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6f""","=""1F*""","=""3""",E2,"=""""","=""L7589c86""",
Hg,1,"=""390.1868""","=""0.0008""","=""30""","=""""",,"=""54068.6829""","=""79690.16""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8d""","=""3D""","=""2""",,"=""""","=""L3451""",
Hg,1,"=""390.3638""","=""0.002""","=""0.5""","=""""",,"=""54068.6829""","=""79678.57""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8d""","=""3D""","=""1""",,"=""""","=""L7593c86""",
Hg,1,"=""390.6371""","=""0.0008""","=""40""","=""""",,"=""54068.6829""","=""79660.56""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8d""","=""1D""","=""2""",,"=""""","=""L3451""",
Hg,2,"=""390.9320""","=""0.0004""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""391.3367""","=""0.0004""","=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""391.4313""","=""0.0004""","=""5000""","=""3.7e+06""",,"=""111174.092""","=""136714.118""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""5/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<3>,1/2]""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""391.9264""","=""0.0004""","=""500D""","=""1.1e+07""",,"=""109191.648""","=""134699.466""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""3/2""","=""5d10.8d""","=""2D""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""394.0369""","=""0.0016""","=""15G""","=""1.9e+06""",,"=""109191.648""","=""134562.854""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""3/2""","=""5d10.8d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""394.5673""","=""0.0004""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""394.6281""","=""0.0004""","=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""395.6319""","=""0.0004""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""397.4402""","=""0.0004""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""398.392""","=""0.005""","=""2""","=""""",,"=""68886.43""","=""93980.0""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6p2""","=""3P""","=""1""",,"=""""","=""L15226c86""",
Hg,2,"=""398.39312""","=""0.00003""","=""10000000c""","=""3.2e+06""",,"=""35514.624""","=""60608.362""","=""5d9.6s2""","=""2D""","=""5/2""","=""5d10.6p""","=""2P*""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""402.595""","=""0.008""","=""4""","=""""",,"=""63928.120""","=""88759.6""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).6p""","=""2[1/2]*""","=""1""",,"=""""","=""L7588c86""",
Hg,2,"=""402.6201""","=""0.0016""","=""15G""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""404.0457""","=""0.0010""","=""4000c""","=""9.0e+06""",,"=""111971.464""","=""136714.118""","=""5d10.7p""","=""2P*""","=""3/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<3>,1/2]""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""404.0576""","=""0.0003""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""404.6565""","=""0.0001""","=""12000""","=""2.07e+07""",B,"=""37644.982""","=""62350.325""","=""5d10.6s.6p""","=""3P*""","=""0""","=""5d10.6s.7s""","=""3S""","=""1""",,"=""T5292""","=""L7247""",
Hg,2,"=""404.7740""","=""0.0004""","=""50""","=""3.0e+05""",,"=""110604.447""","=""135302.600""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""7/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<3>,1/2]""","=""7/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""407.7837""","=""0.0001""","=""1000""","=""4.0e+06""",B,"=""39412.237""","=""63928.120""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6s.7s""","=""1S""","=""0""",,"=""T5292""","=""L7247""",
Hg,1,"=""410.8054""","=""0.0008""","=""70""","=""2.2e+06""",D,"=""54068.6829""","=""78404.24""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9s""","=""1S""","=""0""",,"=""T3462""","=""L3451""",
Hg,2,"=""412.0440""","=""0.0004""","=""4000""","=""1.2e+07""",,"=""108298.183""","=""132560.550""","=""5d10.7p""","=""2P*""","=""1/2""","=""5d10.9s""","=""2S""","=""1/2""",,"=""T7226""","=""L11760""",
Hg,3,"=""412.207""","=""""","=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,1,"=""414.00""","=""0.02""","=""0""","=""""",,"=""54068.6829""","=""78216.12""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9s""","=""3S""","=""1""",,"=""""","=""L7587c86""",
Hg,3,"=""414.034""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,3,"=""421.674""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,2,"=""427.6224""","=""0.0003""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""427.7995""","=""0.0003""","=""100w""","=""8.0e+06""",,"=""109191.648""","=""132560.550""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""3/2""","=""5d10.9s""","=""2S""","=""1/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""431.405""","=""0.013""","=""1""","=""""",,"=""54068.6829""","=""77241.51""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.5f""","=""1F*""","=""3""",E2,"=""""","=""L7589c86""",
