element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,2,"=""383.837""","=""""","=""285""","=""6.98e+07""",B,"=""170666.23""","=""196711.54""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4s""","=""3P*""","=""2""",,"=""T6385n""","=""L3513""",
N,2,"=""391.900""","=""""","=""360""","=""7.56e+07""",B+,"=""164610.76""","=""190120.24""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.3d""","=""1P*""","=""1""",,"=""T7333""","=""L3513""",
N,3,"=""393.852""","=""""","=""90""","=""8.96e+07""",B,"=""309185.2""","=""334568.3""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""T7192LS""","=""L3513""",
N,2,"=""395.585""","=""""","=""450""","=""1.21e+07""",B+,"=""148940.17""","=""174212.03""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""1D""","=""2""",,"=""T7333""","=""L3513""",
N,2,"=""399.500""","=""""","=""1000""","=""1.22e+08""",A,"=""149187.80""","=""174212.03""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.3p""","=""1D""","=""2""",,"=""T7333""","=""L3513""",
N,3,"=""399.863""","=""""","=""150""","=""1.76e+08""",C+,"=""317747.7""","=""342749.2""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.5f""","=""2F*""","=""5/2""",,"=""T7192LS""","=""L3513""",
N,3,"=""400.358""","=""""","=""200""","=""1.88e+08""",C+,"=""317779.5""","=""342750.1""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""7/2""",,"=""T7192LS""","=""L3513""",
N,2,"=""403.508""","=""""","=""360""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,2,"=""404.131""","=""""","=""550""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,2,"=""404.353""","=""""","=""360""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
