element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,2,"=""380.0457""","=""0.0010""","=""60""","=""""",,"=""276511.800""","=""302816.9602""","=""2s2.2p4.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).4d""","=""4P""","=""3/2""",,"=""""","=""L1406""",
Ne,2,"=""380.0816""","=""0.0010""","=""12""","=""""",,"=""281720.2755""","=""308022.9587""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P).5p""","=""4D*""","=""1/2""",,"=""""","=""L1406""",
Ne,2,"=""380.1013""","=""0.0010""","=""12""","=""""",,"=""280768.508""","=""307069.8080""","=""2s2.2p4.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p4.(3P).5p""","=""4P*""","=""3/2""",,"=""""","=""L1406""",
Ne,2,"=""380.283""","=""0.002""","=""5""","=""""",,"=""292651.298""","=""318940.046""","=""2s2.2p4.(3P).4p""","=""4S*""","=""3/2""","=""2s2.2p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L11529c153""",
Ne,2,"=""380.6252""","=""0.0010""","=""120""","=""1.3e+06""",D,"=""252953.5198""","=""279218.6416""","=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",,"=""T380""","=""L1406""",
Ne,4,"=""381.367""","=""0.003""","=""5""","=""""",,"=""489207.75+z""","=""515421.65+z""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",,"=""""","=""L2677""",
Ne,3,"=""381.7886""","=""""","=""200""","=""1.3e+08""",D,"=""472473.64""","=""498658.714""","=""2s2.2p3.(2D*).4p""","=""1F""","=""3""","=""2s2.2p3.(2D*).5s""","=""1D*""","=""2""",,"=""T8046""","=""L11529""",
Ne,2,"=""381.84236""","=""0.00003""","=""200""","=""6.1e+07""",D,"=""254292.1683""","=""280473.5550""","=""2s2.2p4.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).3d""","=""2D""","=""3/2""",,"=""T380""","=""L5951""",
Ne,2,"=""382.3157""","=""0.0010""","=""100""","=""""",,"=""276276.8361""","=""302425.8139""","=""2s2.2p4.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""2D""","=""3/2""",,"=""""","=""L1406""",
Ne,2,"=""382.975030""","=""0.000021""","=""240""","=""8.4e+07""",D,"=""254164.9888""","=""280268.9453""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""2D""","=""5/2""",,"=""T380""","=""L5951""",
