RelTime,UT,x,y,z
0,2000-Jan-01 12:00,-1.0379481289287797,-0.12673456552856133,-0.07401557725852768
1,2000-Jan-02 12:00,-1.0335887151248515,-0.140839038569851,-0.07915124379718118
2,2000-Jan-03 12:00,-1.0289622385134314,-0.1549064565591664,-0.08426658282464718
3,2000-Jan-04 12:00,-1.0240680527488646,-0.16893432362307417,-0.08935982480776516
4,2000-Jan-05 12:00,-1.018905705924959,-0.18291855452723405,-0.09442971911503838
5,2000-Jan-06 12:00,-1.0134750811890456,-0.1968535138894235,-0.09947502776540028
6,2000-Jan-07 12:00,-1.007775680445356,-0.2107364749955672,-0.10449352782842965
7,2000-Jan-08 12:00,-1.0018070052160686,-0.22456384808272464,-0.10948451493366468
8,2000-Jan-09 12:00,-0.9955690745039757,-0.23833053394598347,-0.11444580518411046
9,2000-Jan-10 12:00,-0.9890617301480764,-0.2520320753085877,-0.11937623177691388
10,2000-Jan-11 12:00,-0.9822845496984535,-0.2656653824389667,-0.12427415132277533
11,2000-Jan-12 12:00,-0.9752375133237641,-0.27922583530580986,-0.12913794401167053
12,2000-Jan-13 12:00,-0.9679206801395219,-0.2927087413859373,-0.13396601462374033
13,2000-Jan-14 12:00,-0.9603338100317765,-0.30611075370258845,-0.1387563048724807
14,2000-Jan-15 12:00,-0.9524774090304707,-0.3194255786771499,-0.14350825067433143
15,2000-Jan-16 12:00,-0.9443509534911898,-0.332651100459206,-0.1482193609416593
16,2000-Jan-17 12:00,-0.9359553113645654,-0.34578094176905544,-0.15288767009409915
17,2000-Jan-18 12:00,-0.9272902708485397,-0.35881132662263665,-0.1575126951939312
18,2000-Jan-19 12:00,-0.9183562633092177,-0.3717378240875934,-0.162091568766761
19,2000-Jan-20 12:00,-0.9091535054216637,-0.38455580584332333,-0.16662339011027402
20,2000-Jan-21 12:00,-0.8996827912934758,-0.3972599871471039,-0.17110585392440963
21,2000-Jan-22 12:00,-0.889944360654368,-0.409846292152349,-0.17553717797672835
22,2000-Jan-23 12:00,-0.8799387243753485,-0.42230985374003976,-0.17991609540530148
23,2000-Jan-24 12:00,-0.8696669467359431,-0.4346451584394343,-0.18424043258484912
24,2000-Jan-25 12:00,-0.8591294874134825,-0.4468478552563322,-0.18850853711074822
25,2000-Jan-26 12:00,-0.8483275266627075,-0.45891224575822803,-0.192718802067493
26,2000-Jan-27 12:00,-0.8372614273067288,-0.4708344547747079,-0.19686920137872693
27,2000-Jan-28 12:00,-0.8259327187222079,-0.48260871787136067,-0.2009573004532433
28,2000-Jan-29 12:00,-0.8143420952596389,-0.49423027239896006,-0.2049821143891619
29,2000-Jan-30 12:00,-0.8024910249452663,-0.5056938658388758,-0.20894086079562532
30,2000-Jan-31 12:00,-0.7903807418997737,-0.5169939714381993,-0.21283266317902363
