t,x,y,z
0.0,0.27564105081883533,-0.6802979317441632,-0.24560154023024816
0.5,0.28593059583590635,-0.6823308702687737,-0.24609769481346905
1.0,0.29617441204673783,-0.6842577415460049,-0.24655558881096037
1.5,0.3063719276924311,-0.6860805528362288,-0.24697598249151628
2.0,0.316522612607601,-0.6878012643406677,-0.24735961758960087
2.5,0.32662597588626935,-0.6894217903137189,-0.24770721777747753
3.0,0.33668156367875895,-0.6909440001673423,-0.24801948913108746
3.5,0.34668895711217035,-0.6923697195649678,-0.24829712058892264
4.0,0.3566477703273645,-0.6937007315027919,-0.24854078440327548
4.5,0.3665576486258328,-0.69493877737661,-0.24875113658334533
5.0,0.37641826672014134,-0.6960855580326529,-0.2489288173297921
5.5,0.3862293270820442,-0.697142734801122,-0.24907445146040064
6.0,0.3959905583826548,-0.6981119305113749,-0.24918864882660585
6.5,0.40570171401940486,-0.6989947304878866,-0.249272004720689
7.0,0.41536257072481875,-0.6997926835263064,-0.24932510027351615
7.5,0.42497292725241737,-0.7005073028490766,-0.24934850284273824
8.0,0.43453260313532543,-0.7011400670402299,-0.2493427663914234
8.5,0.4440414375134354,-0.7016924209590896,-0.24930843185712226
9.0,0.4534992880252019,-0.7021657766327122,-0.2492460275114064
9.5,0.46290602976037115,-0.702561514127009,-0.24915606930994655
10.0,0.47226155427019356,-0.7028809823965428,-0.24903906123322328
10.5,0.4815657686318139,-0.7031255001131049,-0.2488954956179821
11.0,0.49081859456379767,-0.7032963564731926,-0.248725853479565
11.5,0.5000199675898609,-0.703394811984601,-0.248530604825263
12.0,0.5091698362481004,-0.7034220992323569,-0.24831020895884934
12.5,0.518268161343136,-0.7033794236242864,-0.24806511477645973
13.0,0.5273149152387594,-0.7032679641165118,-0.24779576105399898
13.5,0.5363100811888055,-0.7030888739192334,-0.24750257672625434
14.0,0.5452536527041035,-0.7028432811831405,-0.24718598115790463
14.5,0.5541456329534924,-0.7025322896668396,-0.2468463844066171
15.0,0.5629860341969943,-0.7021569793856892,-0.24648418747842343
15.5,0.5717748772493636,-0.7017184072424437,-0.24609978257557366
16.0,0.5805121909723151,-0.7012176076401224,-0.24569355333705958
16.5,0.5891980117938582,-0.7006555930775102,-0.24526587507200476
17.0,0.5978323832532235,-0.700033354727729,-0.24481711498611583
17.5,0.6064153555699877,-0.6993518630002818,-0.24434763240138566
18.0,0.6149469852360634,-0.6986120680870068,-0.24385777896923927
18.5,0.623427334629297,-0.6978149004923542,-0.24334789887731265
19.0,0.6318564716475059,-0.6969612715484058,-0.242818329050044
19.5,0.6402344693618301,-0.6960520739150551,-0.24226939934326636
20.0,0.6485614056883675,-0.6950881820657439,-0.24170143273297323
20.5,0.656837363077083,-0.6940704527591776,-0.24111474549843676
21.0,0.6650624282170733,-0.6929997254974004,-0.24050964739984676
21.5,0.6732366917573122,-0.691876822970624,-0.2398864418506378
22.0,0.681360248042026,-0.6907025514892015,-0.23924542608466975
22.5,0.6894331948599379,-0.6894777014031074,-0.2385868913184175
23.0,0.6974556332066324,-0.6882030475093026,-0.23791112290832847
23.5,0.7054276670593392,-0.6868793494473348,-0.23721840050349424
24.0,0.7133494031634906,-0.6855073520835292,-0.2365089981937884
24.5,0.7212209508304095,-0.6840877858841149,-0.23578318465360998
25.0,0.7290424217455679,-0.6826213672776064,-0.23504122328136884
25.5,0.7368139297868351,-0.6811087990067818,-0.23428337233485622
26.0,0.744535590852209,-0.6795507704705656,-0.23350988506261974
26.5,0.7522075226965266,-0.6779479580561223,-0.23272100983147997
27.0,0.7598298447766916,-0.6763010254614609,-0.23191699025030332
27.5,0.7674026781049677,-0.6746106240088445,-0.23109806529015678
28.0,0.7749261451099285,-0.6728773929492866,-0.2302644694009551
28.5,0.7824003695046632,-0.6711019597584007,-0.22941643262471617
29.0,0.7898254761618642,-0.669284940423882,-0.22855418070552944
29.5,0.7972015909954442,-0.6674269397248649,-0.22767793519634535
30.0,0.8045288408483482,-0.665528551503425,-0.22678791356268502
30.5,0.8118073533862352,-0.6635903589284476,-0.2258843292833692
31.0,0.8190372569967462,-0.6616129347521152,-0.22496739194836224
31.5,0.8262186806940564,-0.6595968415592326,-0.22403730735382216
32.0,0.8333517540284531,-0.6575426320096145,-0.2230942775944454
32.5,0.840436607000684,-0.6554508490737501,-0.22213850115319367
33.0,0.8474733699808287,-0.6533220262619475,-0.22117017298848513
33.5,0.8544621736314694,-0.6511566878471696,-0.22018948461893034
34.0,0.8614031488349487,-0.6489553490817375,-0.21919662420569008
34.5,0.8682964266244931,-0.6467185164081128,-0.21819177663253286
35.0,0.8751421381190259,-0.6444466876639251,-0.21717512358366153
35.5,0.8819404144614773,-0.642140352281422,-0.21614684361938047
36.0,0.8886913867604128,-0.6397999914815209,-0.21510711224967244
36.5,0.8953951860348207,-0.637426078462621,-0.21405610200574915
37.0,0.9020519431618926,-0.6350190785843394,-0.2129939825096394
37.5,0.9086617888276632,-0.6325794495463262,-0.2119209205418777
38.0,0.9152248534803503,-0.6301076415622968,-0.21083708010734778
38.5,0.9217412672862682,-0.6276040975294519,-0.2097426224993454
39.0,0.9282111600881918,-0.6250692531933948,-0.2086377063619103
39.5,0.9346346613660379,-0.6225035373087109,-0.20752248775048263
40.0,0.9410119001997617,-0.6199073717953159,-0.20639712019093562
40.5,0.9473430052343514,-0.6172811718907149,-0.20526175473703462
41.0,0.953628104646821,-0.6146253462982931,-0.20411654002637
41.5,0.9598673261150942,-0.6119402973317534,-0.20296162233481235
42.0,0.9660607967887013,-0.6092264210558183,-0.2017971456295324
42.5,0.9722086432611877,-0.6064841074233047,-0.20062325162063216
43.0,0.978310991544151,-0.6037137404086862,-0.19944007981142728
43.5,0.9843679670428289,-0.6009156981382449,-0.19824776754742435
44.0,0.9903796945331659,-0.5980903530169013,-0.1970464500640267
44.5,0.996346298140279,-0.5952380718518357,-0.19583626053301395
45.0,1.002267901318247,-0.5923592159730028,-0.1946173301078293
45.5,1.0081446268311849,-0.5894541413505964,-0.19338978796770714
46.0,1.013976596735501,-0.5865231987095905,-0.19215376136068013
46.5,1.0197639323633183,-0.5835667336414262,-0.19090937564549776
47.0,1.0255067543069714,-0.5805850867129182,-0.18965675433248513
47.5,1.0312051824045418,-0.5775785935724835,-0.18839601912338036
48.0,1.0368593357263811,-0.5745475850537495,-0.18712728995017264
48.5,1.0424693325625587,-0.5714923872766333,-0.18585068501297763
49.0,1.0480352904112096,-0.5684133217459483,-0.18456632081697205
49.5,1.0535573259677191,-0.5653107054476201,-0.18327431220841878
50.0,1.0590355551147126,-0.5621848509425843,-0.1819747724098081
50.5,1.0644700929128053,-0.5590360664584181,-0.18066781305414176
51.0,1.0698610535920812,-0.5558646559787808,-0.17935354421837965
51.5,1.0752085505442541,-0.5526709193307193,-0.17803207445608124
52.0,1.0805126963154892,-0.549455152269906,-0.17670351082925748
52.5,1.085773602599836,-0.5462176465638592,-0.17536795893946003
53.0,1.0909913802332627,-0.5429586900732085,-0.17402552295812815
53.5,1.096166139188239,-0.5396785668310541,-0.1726763056562147
54.0,1.1012979885688579,-0.5363775571204823,-0.17132040843311117
54.5,1.106387036606455,-0.533055937550281,-0.16995793134489331
55.0,1.1114333906557163,-0.5297139811288996,-0.16858897313190135
55.5,1.1164371571912235,-0.5263519573367245,-0.16721363124568306
56.0,1.1213984418044523,-0.5229701321966829,-0.16583200187530503
56.5,1.1263173492011553,-0.5195687683432533,-0.16444417997306213
57.0,1.1311939831991438,-0.5161481250899135,-0.16305025927959316
57.5,1.1360284467264412,-0.5127084584950469,-0.16165033234842152
58.0,1.1408208418197714,-0.5092500214263945,-0.16024449056993864
58.5,1.1455712696233806,-0.505773063624059,-0.1588328241948461
59.0,1.1502798303881756,-0.5022778317620954,-0.15741542235706496
59.5,1.1549466234711498,-0.49876456950875775,-0.15599237309613406
60.0,1.1595717473350877,-0.4952335175854097,-0.1545637633791102
60.5,1.1641552995485382,-0.4916849138241455,-0.15312967912197764
61.0,1.168697376786032,-0.4881189932241559,-0.1516902052105885
61.5,1.1731980748285349,-0.48453598800687125,-0.15024542552114167
62.0,1.1776574885641207,-0.4809361276699143,-0.14879542294021253
62.5,1.1820757119888616,-0.47731963903989283,-0.14734027938434863
